content_id,trend_search_score,youth_preference_score,total_preference_weight
PLACE_00001,0.0,0.0,0.0
PLACE_00002,0.0,0.0,0.0
PLACE_00003,0.0,0.0,0.0
PLACE_00004,0.0,0.0,0.0
PLACE_00005,0.0,0.0,0.0
PLACE_00006,0.0,0.0,0.0
PLACE_00007,0.0,0.0,0.0
PLACE_00008,0.0,0.0,0.0
PLACE_00009,0.0,0.0,0.0
PLACE_00010,0.0,0.0,0.0
PLACE_00011,0.0,0.0,0.0
PLACE_00012,0.0,0.0,0.0
PLACE_00013,0.0,0.0,0.0
PLACE_00014,0.0,0.0,0.0
PLACE_00015,0.0,0.0,0.0
PLACE_00016,0.0,0.0,0.0
PLACE_00017,0.0,0.0,0.0
PLACE_00018,0.0,0.0,0.0
PLACE_00019,0.0,0.0,0.0
PLACE_00020,0.0,0.0,0.0
PLACE_00021,0.0,0.0,0.0
PLACE_00022,0.0,0.0,0.0
PLACE_00023,0.0,0.0,0.0
PLACE_00024,0.0,0.0,0.0
PLACE_00025,0.0,0.0,0.0
PLACE_00026,0.0,0.0,0.0
PLACE_00027,0.0,0.0,0.0
PLACE_00028,0.0,0.0,0.0
PLACE_00029,0.0,0.0,0.0
PLACE_00030,0.0,0.0,0.0
PLACE_00031,0.0,0.0,0.0
PLACE_00032,0.0,0.0,0.0
PLACE_00033,0.0,0.0,0.0
PLACE_00034,0.0,0.0,0.0
PLACE_00035,0.0,0.0,0.0
PLACE_00036,0.0,0.0,0.0
PLACE_00037,0.0,0.0,0.0
PLACE_00038,0.0,0.0,0.0
PLACE_00039,0.0,0.0,0.0
PLACE_00040,0.0,0.0,0.0
PLACE_00041,0.0,0.0,0.0
PLACE_00042,0.0,0.0,0.0
PLACE_00043,0.0,0.0,0.0
PLACE_00044,0.0,0.0,0.0
PLACE_00045,0.0,0.0,0.0
PLACE_00046,0.0,0.0,0.0
PLACE_00047,0.0,0.0,0.0
PLACE_00048,0.0,0.0,0.0
PLACE_00049,0.0,0.0,0.0
PLACE_00050,0.0,0.0,0.0
PLACE_00051,0.0,0.0,0.0
PLACE_00052,0.0,0.0,0.0
PLACE_00053,0.0,0.0,0.0
PLACE_00054,0.0,0.0,0.0
PLACE_00055,0.0,0.0,0.0
PLACE_00056,0.0,0.0,0.0
PLACE_00057,0.0,0.0,0.0
PLACE_00058,0.0,0.0,0.0
PLACE_00059,0.0,0.0,0.0
PLACE_00060,0.0,0.0,0.0
PLACE_00061,0.0,0.0,0.0
PLACE_00062,0.0,0.0,0.0
PLACE_00063,0.0,0.0,0.0
PLACE_00064,0.0,0.0,0.0
PLACE_00065,0.0,0.0,0.0
PLACE_00066,0.0,0.0,0.0
PLACE_00067,0.0,0.0,0.0
PLACE_00068,0.0,0.0,0.0
PLACE_00069,0.0,0.0,0.0
PLACE_00070,0.0,0.0,0.0
PLACE_00071,0.0,0.0,0.0
PLACE_00072,0.0,0.0,0.0
PLACE_00073,0.0,0.0,0.0
PLACE_00074,0.0,0.0,0.0
PLACE_00075,0.0,0.0,0.0
PLACE_00076,0.0,0.0,0.0
PLACE_00077,0.0,0.0,0.0
PLACE_00078,0.0,0.0,0.0
PLACE_00079,0.0,0.0,0.0
PLACE_00080,0.0,0.0,0.0
PLACE_00081,0.0,0.0,0.0
PLACE_00082,0.0,0.0,0.0
PLACE_00083,0.0,0.0,0.0
PLACE_00084,0.0,0.0,0.0
PLACE_00085,0.0,0.0,0.0
PLACE_00086,0.0,0.0,0.0
PLACE_00087,0.0,0.0,0.0
PLACE_00088,0.0,0.0,0.0
PLACE_00089,0.0,0.0,0.0
PLACE_00090,0.0,0.0,0.0
PLACE_00091,0.0,0.0,0.0
PLACE_00092,0.0,0.0,0.0
PLACE_00093,0.0,0.0,0.0
PLACE_00094,0.0,0.0,0.0
PLACE_00095,0.0,0.0,0.0
PLACE_00096,0.0,0.0,0.0
PLACE_00097,0.0,0.0,0.0
PLACE_00098,0.0,0.0,0.0
PLACE_00099,0.0,0.0,0.0
PLACE_00100,0.0,0.0,0.0
PLACE_00101,0.0,0.0,0.0
PLACE_00102,0.0,0.0,0.0
PLACE_00103,0.0,0.0,0.0
PLACE_00104,0.0,0.0,0.0
PLACE_00105,0.0,0.0,0.0
PLACE_00106,0.0,0.0,0.0
PLACE_00107,0.0,0.0,0.0
PLACE_00108,0.0,0.0,0.0
PLACE_00109,0.0,0.0,0.0
PLACE_00110,0.0,0.0,0.0
PLACE_00111,0.0,0.0,0.0
PLACE_00112,0.0,0.0,0.0
PLACE_00113,0.0,0.0,0.0
PLACE_00114,0.0,0.0,0.0
PLACE_00115,0.0,0.0,0.0
PLACE_00116,0.0,0.0,0.0
PLACE_00117,0.0,0.0,0.0
PLACE_00118,0.0,0.0,0.0
PLACE_00119,0.0,0.0,0.0
PLACE_00120,0.0,0.0,0.0
PLACE_00121,0.0,0.0,0.0
PLACE_00122,0.0,0.0,0.0
PLACE_00123,0.0,0.0,0.0
PLACE_00124,0.0,0.0,0.0
PLACE_00125,0.0,0.0,0.0
PLACE_00126,0.0,0.0,0.0
PLACE_00127,0.0,0.0,0.0
PLACE_00128,0.0,0.0,0.0
PLACE_00129,0.0,0.0,0.0
PLACE_00130,0.0,0.0,0.0
PLACE_00131,0.0,0.0,0.0
PLACE_00132,0.0,0.0,0.0
PLACE_00133,0.0,0.0,0.0
PLACE_00134,0.0,0.0,0.0
PLACE_00135,0.0,0.0,0.0
PLACE_00136,0.0,0.0,0.0
PLACE_00137,0.0,0.0,0.0
PLACE_00138,0.0,0.0,0.0
PLACE_00139,0.0,0.0,0.0
PLACE_00140,0.0,0.0,0.0
PLACE_00141,0.0,0.0,0.0
PLACE_00142,0.0,0.0,0.0
PLACE_00143,0.0,0.0,0.0
PLACE_00144,0.0,0.0,0.0
PLACE_00145,0.0,0.0,0.0
PLACE_00146,0.0,0.0,0.0
PLACE_00147,0.0,0.0,0.0
PLACE_00148,0.0,0.0,0.0
PLACE_00149,0.0,0.0,0.0
PLACE_00150,0.0,0.0,0.0
PLACE_00151,0.0,0.0,0.0
PLACE_00152,0.0,0.0,0.0
PLACE_00153,0.0,0.0,0.0
PLACE_00154,0.0,0.0,0.0
PLACE_00155,0.0,0.0,0.0
PLACE_00156,0.0,0.0,0.0
PLACE_00157,0.0,0.0,0.0
PLACE_00158,0.0,0.0,0.0
PLACE_00159,0.0,0.0,0.0
PLACE_00160,0.0,0.0,0.0
PLACE_00161,0.0,0.0,0.0
PLACE_00162,0.0,0.0,0.0
PLACE_00163,0.0,0.0,0.0
PLACE_00164,0.0,0.0,0.0
PLACE_00165,0.0,0.0,0.0
PLACE_00166,0.0,0.0,0.0
PLACE_00167,0.0,0.0,0.0
PLACE_00168,0.0,0.0,0.0
PLACE_00169,0.0,0.0,0.0
PLACE_00170,0.0,0.0,0.0
PLACE_00171,0.0,0.0,0.0
PLACE_00172,0.0,0.0,0.0
PLACE_00173,0.0,0.0,0.0
PLACE_00174,0.0,0.0,0.0
PLACE_00175,0.0,0.0,0.0
PLACE_00176,0.0,0.0,0.0
PLACE_00177,0.0,0.0,0.0
PLACE_00178,0.0,0.0,0.0
PLACE_00179,0.0,0.0,0.0
PLACE_00180,0.0,0.0,0.0
PLACE_00181,0.0,0.0,0.0
PLACE_00182,0.0,0.0,0.0
PLACE_00183,0.0,0.0,0.0
PLACE_00184,0.0,0.0,0.0
PLACE_00185,0.0,0.0,0.0
PLACE_00186,0.0,0.0,0.0
