content_id,source,large_category,mid_category,facility_name,is_program,program_name,sido,sigungu,address,lat,lon,price_known,price,is_free,price_raw,open_time,close_time,is_time_fixed,operating_hours_remark,closed_day,tel,homepage,description,space_type,social_mode,social_intensity_score,content_mode,last_updated
PLACE_FOREST_0001,휴양림,자연,휴양림,조령산자연휴양림,False,,충청북도,괴산군,충청북도 괴산군 연풍면 새재로 1795,36.81234006,128.0462438,True,0.0,True,무료,,,False,,,043-833-7994,https://www.chungbuk.go.kr/forest/contents.do?key=2110,백두대간생태교육장 · 매점 · 물놀이장 · 숲속의집 · 복합휴양관 · 무궁화관,실외,소그룹,2,감각형,2026-04-30
PLACE_FOREST_0002,휴양림,자연,휴양림,밀양도래재자연휴양림,False,,경상남도,밀양시,경상남도 밀양시 단장면 도래재로 462,35.55632931,128.9390583,True,1000.0,False,일반1000원+단체800원+청소년800원+단체600원+어린이500원+단체400원,,,False,,,055-355-0200,,산림휴양관 · 숲속의집 · 야영데크 · 목공예센터 · 카페테리아 · 요가체험센터,실외,소그룹,2,감각형,2026-03-25
PLACE_FOREST_0003,휴양림,자연,휴양림,수도산 자연휴양림,False,,경상북도,김천시,경상북도 김천시 대덕면 증산로 326-71,35.8918024,127.9838463,True,0.0,True,0,,,False,,,054-435-5128,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030030,숲속의집 · 힐하우스 · 숲속휴양관 · 숲속수련관,실외,소그룹,2,감각형,2026-04-29
PLACE_FOREST_0004,휴양림,자연,휴양림,토함산자연휴양림,False,,경상북도,경주시,경상북도 경주시 문무대왕면 불국로 1208-45,35.76191613,129.3654748,True,0.0,True,무료,,,False,,,054-750-8700,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030027,숲속의집 · 화랑관(어린이물놀이장) · 야영장 · 국학관(세미나실) 등,실외,소그룹,3,감각형,2026-03-26
PLACE_FOREST_0005,휴양림,자연,휴양림,국립신시도자연휴양림,False,,전북특별자치도,군산시,전북특별자치도 군산시 옥도면 신시도길 271,35.82195511,126.4558226,False,,,입장료1000+주차료3000+숙박비 약 76000,,,False,,,063-464-5580,https://foresttrip.go.kr/indvz/main.do?hmpgId=0301,방문자안내센터 · 커뮤니티센터 · 휴양관 2동(28실) · 숲속의집 28동(28실) · 해안탐방로 · 달맞이 화원 · 태양전망대 · 원형전망대,실외,소그룹,3,감각형,2026-04-17
PLACE_FOREST_0006,휴양림,자연,휴양림,용봉산자연휴양림,False,,충청남도,홍성군,충청남도 홍성군 홍북읍 용봉산2길 87,36.64528712,126.6566318,False,,,N,,,False,,,041-630-1785,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030080,산림휴양관 · 숲속의집 · 산림전시관,실외,소그룹,2,감각형,2026-03-31
PLACE_FOREST_0007,휴양림,자연,휴양림,심천치유자연휴양림,False,,충청남도,금산군,충청남도 금산군 남일면 신동길 239,35.99504733,127.4849511,True,0.0,True,무료,,,False,,,041-752-8300,www.simcheon.kr,숲속의집 · 야영장 · 캠핑장 등,실외,소그룹,2,감각형,2026-05-11
PLACE_FOREST_0008,휴양림,자연,휴양림,서대산약용자연휴양림,False,,충청남도,금산군,충청남도 금산군 추부면 홍골1길 132,36.22268671,127.5258197,True,0.0,True,무료,,,False,,,041-753-2222,,산야초체험장 · 산약초음식점 · 숲속의집,실외,소그룹,3,감각형,2026-05-11
PLACE_FOREST_0009,휴양림,자연,휴양림,진산자연휴양림,False,,충청남도,금산군,충청남도 금산군 진산면 대둔산로 6,36.12303243,127.3441498,True,0.0,True,무료,,,False,,,041-753-4242,www.ijinsan.co.kr,숲속의집 · 산책로 · 캠핑장 · 글램핑장 · 짚핑,실외,소그룹,3,감각형,2026-05-11
PLACE_FOREST_0010,휴양림,자연,휴양림,금산산림문화타운,False,,충청남도,금산군,충청남도 금산군 남이면 느티골길 200,36.06776064,127.3690934,True,0.0,True,무료,,,False,,,041-753-5706,https://gsforesttown.foresttrip.go.kr,숲속의집 · 생태체험학습장 · 야영장 · 캠핑장 등,실외,소그룹,3,감각형,2026-05-11
